Date,Open,High,Low,Close,Volume
2010-01-04,40.22334371488952,40.39738926115365,40.036868376343165,40.20469665527344,9506200
2010-01-05,40.14254338297609,40.16740771313074,39.670130594809905,39.73850631713867,10673100
2010-01-06,39.71988206841847,40.1177020946105,39.67637065125337,40.0617561340332,13171500
2010-01-07,39.93742367550453,39.99958214130808,39.620411705996865,39.77581024169922,10901600
2010-01-08,39.73231562535682,39.943660201843535,39.552055039144584,39.91257858276367,7898000
2010-01-11,40.2482177636109,40.2482177636109,39.788239459895024,39.91877365112305,7975700
2010-01-12,39.862826054189476,40.229569022012015,39.79445032700877,40.13011169433594,10820700
2010-01-13,40.11768216205977,40.546583591292965,40.11768216205977,40.38496780395508,13023800
2010-01-14,40.527944458672835,40.571455867825385,40.248228934461864,40.46578598022461,7899000
2010-01-15,40.49063739358212,40.527931520267444,39.76958836628295,40.13011169433594,20995000
2010-01-19,39.869049303904504,40.8698162874443,39.85040223776441,40.621177673339844,15181800
2010-01-20,40.69577427924453,40.99413684864608,40.074180060205855,40.496864318847656,13033000
2010-01-21,40.44713075311018,40.69576935914286,39.65770590582894,39.76337814331055,14473900
2010-01-22,39.7260870398384,39.900135036191855,39.21637996227616,39.28475570678711,14017200
2010-01-25,39.57689946863064,39.5955489060494,39.19151174908411,39.297183990478516,10001700
2010-01-26,38.93665190940919,39.16664104986297,38.67558353989839,39.02989196777344,15630300
2010-01-27,39.02369252608174,39.60799273252425,38.97396621111313,39.43394470214844,14982400
2010-01-28,39.514737040141895,39.82553409244517,39.1852929234823,39.6577033996582,17096000
2010-01-29,39.750940014868,39.949847550195244,39.04853807367183,39.073402404785156,17844400
2010-02-01,39.32204713166353,39.32204713166353,39.01746730863496,39.21637725830078,10153400
2010-02-02,39.284750299793345,39.90634207140928,38.93044182808746,39.77581024169922,13609300
2010-02-03,39.70122904024884,39.70122904024884,39.340705563258446,39.55204772949219,9255900
2010-02-04,39.46502113199391,39.54582667960159,38.924232411391344,38.93666458129883,18397000
2010-02-05,38.967743820470545,39.53339450969411,38.47046888014114,38.93666458129883,16775200
2010-02-08,38.84963725512802,39.14800218470416,38.70045360474311,38.768829345703125,10081200
2010-02-09,38.880707730162776,39.452575494726766,38.830981438701166,39.0112419128418,11356400
2010-02-10,39.029915080461556,39.203960763201586,38.6693891705634,38.992618560791016,10115800
2010-02-11,38.92422929506457,39.290969978794614,38.700454997033525,39.1044921875,8353600
2010-02-12,38.918021034468,39.16044244162029,38.607223872232915,38.98639678955078,12335800
2010-02-16,39.31583750025487,39.60177029480654,39.048551774984496,39.53961181640625,10212400
2010-02-17,39.55203149358067,40.00579488192201,39.5395993275886,39.769588470458984,9485500
2010-02-18,39.76960052892778,40.21714678437616,39.750953459882325,40.11147689819336,8260600
2010-02-19,40.18038173078503,40.37454883824618,39.848414372430405,39.96742248535156,14222300
2010-02-22,39.967414944306796,40.14905472196042,39.70434656636595,39.76698303222656,9839700
2010-02-23,39.81081574539744,39.9924554700419,39.604119052384426,39.65422821044922,12481400
2010-02-24,39.8045621765655,39.992466793841004,39.61665755928998,39.74192810058594,8519300
2010-02-25,39.328541914680784,39.67929660705453,39.15942702114181,39.63545227050781,10528900
2010-02-26,39.74818830517867,39.82961451081792,39.46006774902344,39.46006774902344,9357800
2010-03-01,39.62918052758732,39.74818621469602,39.56654406910649,39.704341888427734,9219400
2010-03-02,39.65425196513998,39.86094639263614,39.472609742347444,39.73567581176758,9014000
2010-03-03,39.82961513125653,39.929831082321044,39.59786619242049,39.710609436035156,9360400
2010-03-04,39.79203449492864,39.8985152902583,39.69181854073787,39.81708908081055,8067200
2010-03-05,39.87346309670858,40.130266644063724,39.80456417606797,40.11147689819336,10633600
2010-03-08,40.13653382220162,40.3432305961567,40.09894954959893,40.211692810058594,33380500
2010-03-09,40.43091723883734,40.43091723883734,40.14279187093052,40.25553512573242,8827100
2010-03-10,40.39332309078465,40.437167413671176,40.18036631638514,40.2680549621582,8436600
2010-03-11,40.18036832140998,40.224212646484375,39.83587378248759,40.224212646484375,9957800
2010-03-12,40.249285977090835,40.249285977090835,39.9924799686984,40.19917678833008,8223000
2010-03-15,40.17411623672985,40.44344711303712,40.13027189773447,40.44344711303711,7444700
2010-03-16,40.52485913257905,40.53738881359554,40.230478530115775,40.41838073730469,8882000
2010-03-17,40.537401316052126,40.549926222258364,40.387078548204144,40.49355697631836,8060700
2010-03-18,40.44970546972074,40.80672496677475,40.3181724738244,40.75035095214844,11742100
2010-03-19,40.78166198730469,41.019673343466955,40.59375501545309,40.78166198730469,23117600
2010-03-22,40.75660851243375,40.988359813520184,40.700239286551415,40.77539825439453,8803800
2010-03-23,40.82551206678501,40.95704505415861,40.63134500618685,40.938255310058594,9453900
2010-03-24,40.90692211749413,40.90692211749413,40.55616760253906,40.55616760253906,9312500
2010-03-25,40.73783258000953,40.8693655969957,40.41839252237195,40.44344711303711,10496600
2010-03-26,40.51233555033465,40.53739013451087,40.29311391213431,40.32442855834961,9450400
2010-03-29,40.374538692694294,40.66892409046671,40.33695920486749,40.60002517700195,7812900
2010-03-30,40.68144968778214,40.70024421068971,40.43717345539229,40.6501350402832,8311600
2010-03-31,40.61255289823875,40.906938316439145,40.5248642347757,40.83803939819336,11939100
2010-04-01,40.94452441101545,41.19506072998047,40.863095806545246,41.19506072998047,10600600
2010-04-05,41.19505679245837,41.27022054816792,40.9507805597442,40.96331024169922,8617600
2010-04-06,40.794189595952126,40.99462148251452,40.71276578470504,40.90693283081055,8260100
2010-04-07,40.863095583121115,41.019683170955076,40.76288201181784,40.85057067871094,9409400
2010-04-08,40.83177482934975,40.83177482934975,40.5687040893195,40.668922424316406,8962600
2010-04-09,40.63760838880094,40.819250561064955,40.57497431045877,40.80046081542969,6972700
2010-04-12,40.78166198730469,40.844296051697626,40.66891875992829,40.78166198730469,8692200
